Koonin	Hutchinson	Tomita	Gil_2004	Glass	Church	Atlas	Huang	Karr	Gil_2014	Agreed100	Agreed90
MG_476		MG_324	MG_409		MG_324	MG_408	MG_352	MG_405	MG_390		
MG_482		MG_327	MG_410		MG_327	MG_409	MG_355	MG_408	MG_408		
MG_526		MG_329	MG_411		MG_329	MG_410	MG_356	MG_409	MG_409		
		MG_333	MG_438		MG_333	MG_411	MG_358	MG_410	MG_410		
		MG_336	MG_442		MG_336	MG_438	MG_359	MG_411	MG_411		
		MG_339	MG_447		MG_339	MG_442	MG_370	MG_438	MG_438		
		MG_346	MG_448		MG_344	MG_447	MG_376	MG_447	MG_442		
		MG_352	MG_454		MG_346	MG_448	MG_380	MG_448	MG_447		
		MG_355	MG_467		MG_352	MG_454	MG_385	MG_454	MG_448		
		MG_356	MG_468		MG_355	MG_467	MG_386	MG_457	MG_454		
		MG_358	MG_476		MG_356	MG_468	MG_390	MG_460	MG_460		
		MG_359	MG_482		MG_358	MG_476	MG_393	MG_463	MG_467		
		MG_370	MG_498		MG_359	MG_482	MG_398	MG_467	MG_468		
		MG_376	MG_526		MG_370	MG_498	MG_403	MG_468	MG_476		
		MG_380			MG_376	MG_526	MG_404	MG_482	MG_482		
		MG_385			MG_380		MG_405	MG_498	MG_498		
		MG_386			MG_385		MG_408	MG_526	MG_526		
		MG_390			MG_386		MG_409				
		MG_392			MG_390		MG_410				
		MG_393			MG_398		MG_411				
		MG_398			MG_399		MG_438				
		MG_399			MG_401		MG_442				
		MG_401			MG_403		MG_447				
		MG_403			MG_404		MG_448				
		MG_404			MG_405		MG_454				
		MG_405			MG_408		MG_460				
		MG_408			MG_409		MG_464				
		MG_409			MG_410		MG_467				
		MG_410			MG_411		MG_468				
		MG_411			MG_425		MG_476				
		MG_425			MG_438		MG_482				
		MG_438			MG_442		MG_498				
		MG_442			MG_447		MG_526				
		MG_447			MG_448						
		MG_448			MG_454						
		MG_454			MG_457						
		MG_457			MG_460						
		MG_463			MG_463						
		MG_464			MG_464						
		MG_467			MG_467						
		MG_468			MG_468						
		MG_476			MG_476						
		MG_482			MG_482						
		MG_498			MG_498						
		MG_526			MG_526						
